               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094694,             0.03056,            0.036803,           0.0034066,                   1,            0.065445,            0.025107,            0.064331,            0.021935,            0.024957,              0.0982,              0.0002,              0.0002
                   1,            0.073724,            0.027902,            0.026018,            0.003388,                   1,             0.06584,            0.014762,            0.056173,            0.022038,            0.024655,            0.095495,          0.00049505,          0.00049505
                   2,            0.080188,            0.031263,            0.031202,           0.0034217,                   1,            0.012869,           0.0029497,            0.046195,            0.022392,             0.02428,            0.092784,          0.00078416,          0.00078416
                   3,            0.063008,            0.034259,            0.025742,           0.0028539,             0.83333,             0.12552,            0.015116,             0.04174,            0.021938,            0.026642,            0.090067,           0.0010673,           0.0010673
                   4,            0.071983,            0.029355,            0.031155,           0.0038371,                   1,            0.084521,            0.021849,            0.043381,            0.020298,            0.028455,            0.087345,           0.0013446,           0.0013446
                   5,            0.088734,            0.030243,            0.033839,           0.0035886,                   1,            0.028096,            0.012688,            0.041832,            0.018482,            0.027448,            0.084616,           0.0016158,           0.0016158
                   6,            0.053867,            0.029149,            0.023486,           0.0034592,                   1,            0.081895,            0.023719,            0.039148,            0.017754,            0.027145,            0.081881,           0.0018812,           0.0018812
                   7,            0.060391,            0.026353,            0.027867,           0.0034301,                   1,             0.15344,            0.066261,            0.040586,            0.016776,             0.02417,            0.079141,           0.0021406,           0.0021406
                   8,            0.071589,            0.033881,            0.037026,           0.0033691,                   1,            0.091563,            0.035017,             0.04088,            0.016398,            0.023959,            0.076394,           0.0023941,           0.0023941
                   9,            0.058594,            0.024478,             0.03179,           0.0033652,                   1,             0.12239,            0.027667,            0.038385,            0.016622,            0.022861,            0.073642,           0.0026416,           0.0026416
                  10,            0.073118,             0.02532,            0.028962,           0.0033453,                   1,             0.14441,            0.065476,             0.03693,            0.015965,            0.021707,            0.070883,           0.0028832,           0.0028832
                  11,             0.05814,            0.026385,            0.027956,           0.0033487,                   1,             0.26476,            0.082313,            0.035454,            0.015927,            0.021835,            0.068119,           0.0031189,           0.0031189
                  12,            0.047657,            0.025716,            0.031922,           0.0034255,                   1,             0.18587,            0.093643,            0.035885,              0.0154,            0.022595,            0.065349,           0.0033486,           0.0033486
                  13,            0.039125,            0.027188,            0.021046,           0.0034585,                   1,             0.40434,             0.16419,            0.040935,            0.014363,            0.021982,            0.062572,           0.0035723,           0.0035723
                  14,            0.047296,            0.026648,            0.025736,             0.76957,             0.16667,             0.51644,             0.27874,            0.034893,            0.013499,            0.023273,             0.05979,           0.0037902,           0.0037902
                  15,            0.047119,            0.025677,            0.024064,             0.36831,             0.66667,             0.58843,             0.32767,            0.031705,            0.012855,            0.021671,            0.057002,           0.0040021,           0.0040021
                  16,            0.057155,            0.030475,            0.030683,             0.29722,             0.90977,             0.83944,             0.41966,            0.029509,            0.012358,            0.020755,            0.054208,            0.004208,            0.004208
                  17,            0.051666,            0.025053,            0.030287,             0.63604,                 0.5,             0.68262,              0.3933,            0.032207,            0.012048,            0.020764,            0.051408,            0.004408,            0.004408
                  18,            0.035193,            0.019549,            0.026368,             0.17458,             0.66667,             0.31987,             0.13042,            0.042203,            0.011025,            0.017601,            0.048602,           0.0046021,           0.0046021
                  19,             0.05681,            0.018238,            0.022861,             0.51423,             0.66667,             0.77278,             0.35453,            0.027459,            0.011759,            0.016484,             0.04579,           0.0047902,           0.0047902
                  20,            0.053748,            0.022362,            0.024552,             0.47254,             0.98082,               0.995,             0.57811,            0.027203,            0.011908,            0.015038,            0.042972,           0.0049724,           0.0049724
                  21,             0.04076,            0.018823,            0.027214,             0.42088,             0.82851,             0.85611,             0.35969,            0.025875,            0.011856,            0.016681,            0.040149,           0.0051487,           0.0051487
                  22,            0.042779,             0.01857,            0.016186,             0.68358,              0.7335,             0.85864,             0.43445,            0.033267,            0.010323,            0.010327,            0.037319,            0.005319,            0.005319
                  23,            0.043812,            0.018762,            0.020179,             0.11287,             0.83333,             0.30276,             0.18638,            0.040226,           0.0093791,           0.0083817,            0.034483,           0.0054833,           0.0054833
                  24,            0.045999,            0.018035,            0.013313,             0.65487,             0.66667,             0.88389,             0.45405,            0.031532,            0.008553,           0.0068367,            0.031642,           0.0056418,           0.0056418
                  25,            0.061336,            0.017736,            0.018051,             0.78896,             0.83333,             0.93944,             0.49468,            0.027999,           0.0077746,           0.0064041,            0.028794,           0.0057942,           0.0057942
                  26,            0.036036,            0.014054,             0.01184,              0.9087,                 0.5,             0.62173,             0.31534,            0.038138,           0.0070994,           0.0061329,            0.025941,           0.0059408,           0.0059408
                  27,            0.047717,            0.017071,            0.013598,              0.5277,                   1,             0.82889,             0.56897,            0.029808,           0.0077326,           0.0059143,            0.023081,           0.0060814,           0.0060814
                  28,            0.043135,            0.019271,            0.015956,             0.48977,             0.83333,             0.85611,             0.50274,            0.034101,           0.0080132,           0.0055401,            0.020216,           0.0062161,           0.0062161
                  29,            0.052465,            0.015487,            0.023963,             0.45564,             0.83333,             0.88389,             0.59117,            0.028832,           0.0086441,           0.0075188,            0.017345,           0.0063448,           0.0063448
                  30,             0.03915,            0.017564,            0.012468,             0.40792,              0.6155,             0.59583,             0.25684,            0.040236,           0.0075283,           0.0058262,            0.014468,           0.0064676,           0.0064676
                  31,            0.058329,             0.01368,            0.020581,             0.48895,             0.79653,              0.7654,             0.37869,            0.033219,           0.0082345,           0.0053833,            0.011584,           0.0065844,           0.0065844
                  32,            0.064334,            0.016433,            0.012428,             0.46284,                 0.5,              0.5188,             0.25825,             0.03573,           0.0080853,           0.0073814,           0.0086954,           0.0066954,           0.0066954
                  33,             0.05202,            0.014201,             0.01778,             0.58109,             0.66667,             0.53578,             0.20258,            0.032725,            0.010199,           0.0096313,            0.006733,            0.006733,            0.006733
                  34,            0.045194,            0.013632,            0.015425,             0.55452,             0.45523,             0.56641,             0.26705,            0.036483,           0.0091515,           0.0094986,            0.006733,            0.006733,            0.006733
                  35,            0.059761,            0.015583,             0.01264,             0.54505,             0.60723,             0.37596,            0.091915,            0.050608,            0.008692,            0.010242,            0.006634,            0.006634,            0.006634
                  36,            0.044997,            0.016359,            0.018274,              0.5959,             0.66667,             0.53101,             0.22619,            0.039451,            0.009306,           0.0091415,            0.006535,            0.006535,            0.006535
                  37,            0.052847,            0.015604,            0.012722,             0.47438,             0.66667,             0.60308,             0.26373,             0.02606,            0.011414,           0.0094368,            0.006436,            0.006436,            0.006436
                  38,            0.048268,            0.015133,            0.016192,             0.91066,             0.16667,             0.57765,             0.25081,            0.032128,            0.011318,            0.010959,            0.006337,            0.006337,            0.006337
                  39,            0.037907,            0.015153,            0.010159,             0.87511,             0.16667,             0.43699,             0.13343,            0.034519,            0.011414,            0.010373,            0.006238,            0.006238,            0.006238
                  40,            0.042742,            0.012481,           0.0091046,             0.57792,             0.33333,              0.5748,             0.27461,            0.032192,            0.011019,            0.010213,            0.006139,            0.006139,            0.006139
                  41,            0.044787,            0.013951,            0.013655,             0.61253,             0.59661,             0.70814,             0.19955,            0.030912,            0.010895,            0.010112,             0.00604,             0.00604,             0.00604
                  42,            0.046773,            0.019984,           0.0096874,             0.85802,             0.48332,             0.84115,             0.31144,            0.032379,            0.009604,            0.017207,            0.005941,            0.005941,            0.005941
                  43,            0.050786,            0.019695,            0.013067,             0.90866,             0.46458,             0.59867,             0.23426,            0.028938,            0.010758,            0.020883,            0.005842,            0.005842,            0.005842
                  44,            0.041356,            0.014722,            0.016147,             0.74086,                 0.5,             0.61913,             0.19349,            0.030576,            0.010737,            0.016136,            0.005743,            0.005743,            0.005743
                  45,            0.040536,            0.016205,           0.0079576,             0.66679,                 0.5,             0.62806,              0.2747,            0.027317,           0.0099909,            0.016214,            0.005644,            0.005644,            0.005644
                  46,             0.03517,            0.011578,           0.0088107,             0.70194,             0.83333,             0.85864,             0.46293,            0.021069,           0.0081711,            0.012767,            0.005545,            0.005545,            0.005545
                  47,            0.030006,            0.012969,           0.0061632,             0.58134,             0.83333,             0.85864,              0.5187,            0.030244,           0.0070152,            0.011874,            0.005446,            0.005446,            0.005446
                  48,            0.050952,             0.01321,           0.0083588,             0.59222,             0.83333,             0.85611,             0.58807,            0.025666,           0.0081444,            0.010741,            0.005347,            0.005347,            0.005347
